index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
976,JW Jenner,Jersey,10,327,1,256,0,3,2,1,36.33333333,110.3093795,10,327,1,0,3,2,1,36.33333333,0,31,1,0,0,0,0,13,10,327,1,0,3,2,1,36.33333333,https://i.ibb.co/YN3dFnR/player.png
977,DG Blampied,Jersey,9,119,4,130,0,0,0,0,23.8,91.41244314,9,119,4,0,0,0,0,23.8,0,31,1,0,0,0,0,13,9,119,4,0,0,0,0,23.8,https://i.ibb.co/YN3dFnR/player.png
978,B Ward,Jersey,10,183,3,151,0,1,1,1,26.14285714,102.1255981,10,183,3,0,1,1,1,26.14285714,0,31,1,0,0,0,0,13,10,183,3,0,1,1,1,26.14285714,https://i.ibb.co/YN3dFnR/player.png
979,AW Hawkins-Kay,Jersey,8,63,2,84,0,0,0,1,10.5,64.59077381,8,63,2,0,0,0,1,10.5,0,31,1,0,0,0,0,13,8,63,2,0,0,0,1,10.5,https://i.ibb.co/YN3dFnR/player.png
980,Ansar Iqbal,Norway,3,24,0,40,0,0,0,0,8,54.6031746,3,24,0,0,0,0,0,8,0,31,1,0,0,0,0,13,3,24,0,0,0,0,0,8,https://i.ibb.co/YN3dFnR/player.png
981,Hayatullah Niazi,Norway,3,43,0,43,0,0,0,0,14.33333333,92.8030303,3,43,0,0,0,0,0,14.33333333,0,31,1,0,0,0,0,13,3,43,0,0,0,0,0,14.33333333,https://i.ibb.co/YN3dFnR/player.png
982,Abdullah Sheikh,Norway,2,13,0,19,0,0,0,0,6.5,82.35294118,2,13,0,0,0,0,0,6.5,0,31,1,0,0,0,0,13,2,13,0,0,0,0,0,6.5,https://i.ibb.co/YN3dFnR/player.png
983,S Waqas Ahmed,Norway,3,9,1,20,0,0,0,1,4.5,29.004329,3,9,1,0,0,0,1,4.5,0,31,1,0,0,0,0,13,3,9,1,0,0,0,1,4.5,https://i.ibb.co/YN3dFnR/player.png
984,P Bhart,Norway,3,3,2,19,0,0,0,1,3,25,3,3,2,0,0,0,1,3,0,31,1,0,0,0,0,13,3,3,2,0,0,0,1,3,https://i.ibb.co/YN3dFnR/player.png
985,Junaid Sheikh,Norway,3,19,0,20,0,0,0,0,6.333333333,91.66666667,3,19,0,0,0,0,0,6.333333333,0,31,1,0,0,0,0,13,3,19,0,0,0,0,0,6.333333333,https://i.ibb.co/YN3dFnR/player.png
986,Omar Hayat,Denmark,2,6,0,4,0,0,0,0,3,133.3333333,2,6,0,0,0,0,0,3,0,31,1,0,0,0,0,13,2,6,0,0,0,0,0,3,https://i.ibb.co/YN3dFnR/player.png
987,Bashir Shah,Denmark,2,2,2,2,0,0,0,0,0,100,2,2,2,0,0,0,0,0,0,31,1,0,0,0,0,13,2,2,2,0,0,0,0,0,https://i.ibb.co/YN3dFnR/player.png
988,Jaspreet Singh,Italy,2,19,0,23,0,0,0,0,9.5,82.1969697,2,19,0,0,0,0,0,9.5,0,31,1,0,0,0,0,13,2,19,0,0,0,0,0,9.5,https://i.ibb.co/YN3dFnR/player.png
989,Rehman Abdul,Italy,3,47,1,53,0,0,0,0,23.5,81.40873016,3,47,1,0,0,0,0,23.5,0,31,1,0,0,0,0,13,3,47,1,0,0,0,0,23.5,https://i.ibb.co/YN3dFnR/player.png
990,Simranjit Singh,Italy,1,8,0,9,0,0,0,0,8,88.88888889,1,8,0,0,0,0,0,8,0,31,1,0,0,0,0,13,1,8,0,0,0,0,0,8,https://i.ibb.co/YN3dFnR/player.png
991,Abdul-Shakoor Rahimzei,Germany,5,94,2,77,0,1,0,0,31.33333333,101.7297596,5,94,2,0,1,0,0,31.33333333,0,31,1,0,0,0,0,13,5,94,2,0,1,0,0,31.33333333,https://i.ibb.co/YN3dFnR/player.png
992,H Singh,Germany,5,58,2,61,0,0,0,0,19.33333333,93.31002331,5,58,2,0,0,0,0,19.33333333,0,31,1,0,0,0,0,13,5,58,2,0,0,0,0,19.33333333,https://i.ibb.co/YN3dFnR/player.png
